ts_event,bid_fill,ask_fill,Signed Volume,price,best_bid,best_ask,mid_price
2024-10-22 13:23:26,1200.0,121.0,1079.0,234.0,233.97,234.0,233.985
2024-10-22 13:23:30,1601.0,1400.0,201.0,234.0,233.98,234.0,233.99
2024-10-22 13:23:35,303.0,1105.0,-802.0,234.0,233.98,234.05,234.015
2024-10-22 13:23:43,20.0,800.0,-780.0,233.99,233.99,234.05,234.02
2024-10-22 13:23:49,0.0,311.0,-311.0,234.0,233.99,234.0,233.995
2024-10-22 13:23:56,10.0,5.0,5.0,233.99,233.99,234.0,233.995
2024-10-22 13:24:10,32.0,364.0,-332.0,234.0,233.97,234.0,233.985
2024-10-22 13:24:13,1143.0,448.0,695.0,233.99,233.97,233.99,233.98
2024-10-22 13:24:21,796.0,1370.0,-574.0,233.97,233.92,233.97,233.945
2024-10-22 13:24:24,9.0,118.0,-109.0,233.97,233.92,233.97,233.945
2024-10-22 13:24:26,0.0,0.0,0.0,233.96,233.92,233.97,233.945
2024-10-22 13:24:27,258.0,4.0,254.0,233.97,233.93,233.98,233.955
2024-10-22 13:24:28,46.0,0.0,46.0,233.93,233.92,233.98,233.95
2024-10-22 13:24:29,0.0,111.0,-111.0,233.97,233.92,233.97,233.945
2024-10-22 13:24:33,399.0,422.0,-23.0,233.93,233.92,233.98,233.95
2024-10-22 13:24:38,3000.0,595.0,2405.0,233.98,233.92,234.05,233.985
2024-10-22 13:24:40,472.0,526.0,-54.0,233.97,233.92,233.97,233.945
2024-10-22 13:24:43,302.0,205.0,97.0,233.93,233.92,233.97,233.945
2024-10-22 13:24:44,0.0,6.0,-6.0,233.96,233.92,233.96,233.94
2024-10-22 13:24:49,20.0,300.0,-280.0,233.92,233.92,233.96,233.94
2024-10-22 13:24:53,0.0,33.0,-33.0,233.96,233.92,233.96,233.94
2024-10-22 13:24:54,0.0,46.0,-46.0,233.95,233.92,233.95,233.935
2024-10-22 13:24:55,6203.0,7592.0,-1389.0,233.85,233.82,233.85,233.835
2024-10-22 13:25:00,8331.0,22166.0,-13835.0,233.55,233.53,233.55,233.54
2024-10-22 13:25:05,0.0,100.0,-100.0,233.54,233.53,233.55,233.54
2024-10-22 13:25:06,5364.0,6732.0,-1368.0,233.55,233.55,233.6,233.575
2024-10-22 13:25:07,2004.0,2100.0,-96.0,233.55,233.55,233.6,233.575
